_id,episodeTitle,eventsNum,rssLifeExpectancy,fetchStatus,rssRegDate,day
57522dff5adbaba449e66547,Killed Blue Angels pilot identified,38,725,6,2016-06-04T04:25:19.732,6
575236b65adbaba449e6680d,Sumner Redstone opposes speeding up Viacom CEO's legal case,0,0,6,2016-06-04T05:02:29.654,6
575236b65adbaba449e6680e,Arizona mom says daughter lured to death via online dating,0,0,6,2016-06-04T05:02:30.824,6
57523b1a5adbaba449e66d8c,More charges against ex-pharmaceutical executive Shkreli,0,0,6,2016-06-04T05:21:12.957,6
57523f875adbaba449e66db0,US defense secretary offers closer security ties to China,0,0,6,2016-06-04T05:40:04.204,6
57523f875adbaba449e66db1,Bottled water selling quickly after Alabama water warning,0,0,6,2016-06-04T05:40:05.400,6
575246285adbaba449e66e01,Obama calls on Democrats to develop sense of urgency,0,0,6,2016-06-04T06:08:23.522,6
575248585adbaba449e66e0c,'Glee' star Salling pleads not guilty in child porn case,0,0,6,2016-06-04T06:17:44.574,6
57525e425adbaba449e6715b,"Nation-Now Dickey takes no-hitter into 6th, Jays stop Bogaerts, Bosox Dickey takes no-hitter into 6th, Jays stop Bogaerts, Bosox BOSTON (AP) ‚?” R.A. Dickey took a no-hit bid into the sixth inning and the Toronto Blue Jays stopped Xander Bogaerts' 26-game hitting streak and the Boston Red Sox, 5-2 Friday night. Bogaerts went 0 for 3 and walked twice, with the Fenway Park crowd booing when he didn't see a strike in the eighth inning. Nation-Now 28 minutes ago",0,0,6,2016-06-04T07:51:14.585,6
575264dd5adbaba449e673f2,Security tight in Beijing on anniversary of 1989 crackdown,0,0,6,2016-06-04T08:19:18.551,6
575264dd5adbaba449e673f6,Rio Olympics: Zika virus review into Games commissioned by WHO,0,0,6,2016-06-04T08:19:25.107,6
57526d9f5adbaba449e6786a,"Nation-Now Colombia scores 2 first-half goals, beats US in Copa opener",0,0,6,2016-06-04T08:56:47.500,6
57527adb5adbaba449e679ac,Libya: Dozens of bodies found after capsizing Libyan navy spokesman says more than 100 bodies of migrants retrieved after boat capsized off Libyan shores.,20,495,6,2016-06-04T09:53:15.173,6
